id;data;qtd
430;2015-08-04;12358607
431;2015-08-05;12919057
432;2015-08-06;12638449
433;2015-08-07;14133124
434;2015-08-08;2633599
435;2015-08-09;1368055
436;2015-08-10;17801574
437;2015-08-11;12765723
438;2015-08-12;11532286
439;2015-08-13;10424375
440;2015-08-14;11690482
441;2015-08-15;2303638
442;2015-08-16;1222272
443;2015-08-17;15183135
444;2015-08-18;11562756
445;2015-08-19;11175429
446;2015-08-20;13210787
447;2015-08-21;11484886
448;2015-08-22;2259006
449;2015-08-23;1242170
450;2015-08-24;13323956
451;2015-08-25;11691992
452;2015-08-26;10794336
453;2015-08-27;10512013
454;2015-08-28;11173231
455;2015-08-29;2318785
456;2015-08-30;1348219
457;2015-08-31;14534948
458;2015-09-01;13462556
459;2015-09-02;12249509
460;2015-09-03;12293258
461;2015-09-04;14534349
462;2015-09-05;2679827
463;2015-09-06;1132225
464;2015-09-07;1812784
465;2015-09-08;17210275
466;2015-09-09;13411174
467;2015-09-10;14888060
468;2015-09-11;12833585
469;2015-09-12;2475293
470;2015-09-13;1297277
471;2015-09-14;14299387
472;2015-09-15;13604728
473;2015-09-16;11534392
474;2015-09-17;11166413
475;2015-09-18;12989758
476;2015-09-19;2353697
477;2015-09-20;1312566
478;2015-09-21;15204772
479;2015-09-22;11505760
480;2015-09-23;10755037
481;2015-09-24;10319965
482;2015-09-25;626847
483;2015-09-26;3194460
484;2015-09-27;1399982
485;2015-09-28;16556606
486;2015-09-29;11671086
487;2015-09-30;13430044
488;2015-10-01;13109447
489;2015-10-02;12919378
490;2015-10-03;2680148
491;2015-10-04;1478268
492;2015-10-05;16498585
493;2015-10-06;14667709
494;2015-10-07;14593724
495;2015-10-08;12802854
496;2015-10-09;13381086
497;2015-10-10;2606241
498;2015-10-11;1144630
499;2015-10-12;1713983
500;2015-10-13;18363459
501;2015-10-14;13373476
502;2015-10-15;14407076
503;2015-10-16;12878894
504;2015-10-17;2454210
505;2015-10-18;1275786
506;2015-10-19;14863898
507;2015-10-20;14994365
508;2015-10-21;12059428
509;2015-10-22;11320740
510;2015-10-23;11749877
511;2015-10-24;2322620
512;2015-10-25;1367801
513;2015-10-26;14620391
514;2015-10-27;11641015
515;2015-10-28;11568689
516;2015-10-29;11342868
517;2015-10-30;13316372
518;2015-10-31;2506573
519;2015-11-01;1313360
520;2015-11-02;1882485
521;2015-11-03;16970289
522;2015-11-04;13424689
523;2015-11-05;14187717
524;2015-11-06;15744186
525;2015-11-07;2979853
526;2015-11-08;1541388
527;2015-11-09;16672898
528;2015-11-10;15928319
529;2015-11-11;13187167
530;2015-11-12;12161779
531;2015-11-13;12359281
532;2015-11-14;2477599
533;2015-11-15;1379928
534;2015-11-16;15973699
535;2015-11-17;12133539
536;2015-11-18;11628642
537;2015-11-19;11797769
538;2015-11-20;13098474
539;2015-11-21;2523229
540;2015-11-22;1294040
541;2015-11-23;14684918
542;2015-11-24;11864529
543;2015-11-25;12459880
544;2015-11-26;11467767
545;2015-11-27;12502503
546;2015-11-28;2832567
547;2015-11-29;1565932
548;2015-11-30;17043730
549;2015-12-01;14519181
550;2015-12-02;13434853
551;2015-12-03;12825602
552;2015-12-04;14660438
553;2015-12-05;3175526
554;2015-12-06;1852640
555;2015-12-07;18257832
556;2015-12-08;11833275
557;2015-12-09;14097848
558;2015-12-10;15434292
559;2015-12-11;13777268
560;2015-12-12;2770875
561;2015-12-13;1535105
562;2015-12-14;16079500
563;2015-12-15;15175094
564;2015-12-16;13362904
565;2015-12-17;13048494
566;2015-12-18;15528528
567;2015-12-19;3137525
568;2015-12-20;1713463
569;2015-12-21;17565227
570;2015-12-22;13823015
571;2015-12-23;13700476
572;2015-12-24;7512299
573;2015-12-25;1280883
574;2015-12-26;2180721
575;2015-12-27;1502927
576;2015-12-28;15469793
577;2015-12-29;11724319
578;2015-12-30;12605884
579;2015-12-31;3781159
580;2016-01-01;1295979
581;2016-01-02;2100282
582;2016-01-03;1659667
583;2016-01-04;17393251
584;2016-01-05;15144203
585;2016-01-06;13671430
586;2016-01-07;14447618
587;2016-01-08;14246981
588;2016-01-09;3116378
589;2016-01-10;1677084
590;2016-01-11;19019657
591;2016-01-12;14056049
592;2016-01-13;13346801
593;2016-01-14;12785608
594;2016-01-15;14666455
595;2016-01-16;2719067
596;2016-01-17;1506442
597;2016-01-18;15683395
598;2016-01-19;13239750
599;2016-01-20;13960931
600;2016-01-21;12464735
601;2016-01-22;12251784
602;2016-01-23;2665000
603;2016-01-24;1434278
604;2016-01-25;14914392
605;2016-01-26;12486271
606;2016-01-27;12009518
607;2016-01-28;11734004
608;2016-01-29;13568410
609;2016-01-30;2924440
610;2016-01-31;1646968
611;2016-02-01;16279577
612;2016-02-02;13614079
613;2016-02-03;13399924
614;2016-02-04;13921385
615;2016-02-05;18517623
616;2016-02-06;3132243
617;2016-02-07;1285662
618;2016-02-08;3231961
619;2016-02-09;2112241
620;2016-02-10;19033239
621;2016-02-11;15774207
622;2016-02-12;14825253
623;2016-02-13;3069587
624;2016-02-14;1402205
625;2016-02-15;18099415
626;2016-02-16;13848208
627;2016-02-17;12956891
628;2016-02-18;12637859
629;2016-02-19;14139902
630;2016-02-20;3168253
631;2016-02-21;914147
632;2016-02-22;16879214
633;2016-02-23;12861186
634;2016-02-24;12408892
635;2016-02-25;13005484
636;2016-02-26;13256219
637;2016-02-27;2995982
638;2016-02-28;1701837
639;2016-02-29;17355848
640;2016-03-01;15060058
641;2016-03-02;14163684
642;2016-03-03;13947284
643;2016-03-04;15717778
644;2016-03-05;3557822
645;2016-03-06;1733222
646;2016-03-07;19463562
647;2016-03-08;14408491
648;2016-03-09;13793223
649;2016-03-10;15950279
650;2016-03-11;13975944
651;2016-03-12;1959892
652;2016-03-13;1264307
653;2016-03-14;16383748
654;2016-03-15;15819708
655;2016-03-16;13523364
656;2016-03-17;13238275
657;2016-03-18;14515441
658;2016-03-19;2983155
659;2016-03-20;1735405
660;2016-03-21;18370615
661;2016-03-22;13754934
662;2016-03-23;13494694
663;2016-03-24;12571979
664;2016-03-25;1843260
665;2016-03-26;2346649
666;2016-03-27;1487980
667;2016-03-28;16974857
668;2016-03-29;13202793
669;2016-03-30;13700652
670;2016-03-31;14538452
671;2016-04-01;15217464
672;2016-04-02;3235601
673;2016-04-03;1821246
674;2016-04-04;17387133
675;2016-04-05;16665751
676;2016-04-06;16194888
677;2016-04-07;16344848
678;2016-04-08;15299801
679;2016-04-09;3472745
680;2016-04-10;1924156
681;2016-04-11;20240428
682;2016-04-12;14944221
683;2016-04-13;13749870
684;2016-04-14;13410398
685;2016-04-15;15781848
686;2016-04-16;3072636
687;2016-04-17;1598807
688;2016-04-18;16615751
689;2016-04-19;14292776
690;2016-04-20;17018909
691;2016-04-21;2645501
692;2016-04-22;13328959
693;2016-04-23;2869750
694;2016-04-24;1749893
695;2016-04-25;18074808
696;2016-04-26;13675116
697;2016-04-27;13340986
698;2016-04-28;13082949
699;2016-04-29;15446252
700;2016-04-30;3367794
701;2016-05-01;1936665
702;2016-05-02;18464040
703;2016-05-03;15485031
704;2016-05-04;14840772
705;2016-05-05;16252456
706;2016-05-06;17546414
707;2016-05-07;3699895
708;2016-05-08;1868609
709;2016-05-09;18781850
710;2016-05-10;18308571
711;2016-05-11;15046861
712;2016-05-12;14017906
713;2016-05-13;14434127
714;2016-05-14;3232049
715;2016-05-15;1847157
716;2016-05-16;19656297
717;2016-05-17;14330853
718;2016-05-18;13602588
719;2016-05-19;13133451
720;2016-05-20;16521134
721;2016-05-21;3291005
722;2016-05-22;1863885
723;2016-05-23;16356533
724;2016-05-24;13188778
725;2016-05-25;14781278
726;2016-05-26;2515185
727;2016-05-27;13671453
728;2016-05-28;3042668
729;2016-05-29;1951310
730;2016-05-30;17637065
731;2016-05-31;15506524
732;2016-06-01;15629929
733;2016-06-02;14737906
734;2016-06-03;15626987
735;2016-06-04;3755073
736;2016-06-05;2106338
737;2016-06-06;20530512
738;2016-06-07;17713855
739;2016-06-08;15291492
740;2016-06-09;14310624
741;2016-06-10;17493603
742;2016-06-11;3405344
743;2016-06-12;1810828
744;2016-06-13;16837711
745;2016-06-14;15291847
746;2016-06-15;16487675
747;2016-06-16;13958308
748;2016-06-17;14364598
749;2016-06-18;3213254
750;2016-06-19;1879712
751;2016-06-20;19733406
